 -,Total population,Total population,Total population,Total population,Economically Active Population,Economically Active Population
Sex and year,"Number 
",% increase,"Number 
",%increase,Number ,%increase
Bothe sexes, -, -, -, -, -, -
1952/54,8235079, -,7225607, -,4153455, -
1961*,9412996,14.3,5659931,-5.7,4306839,3.7
1971,11555983,22.8,8178620,44.5,4852524,12.7
1981,15022839,30,10517888,28.6,6850886,41.2
1991,18491097,23.1,1297712,23.4,7339586,7.1
2001,22736934,22.9,16770279,29.2,10637243,44.9
2011,26494504,16.5,20495515,22.2,11108915,4.4
Males, -, -, -, -, -, -
1952/54,4050607, -,4153455, -,2460492, -
1961*,4636033,14.4,2724757,-34.4,2563915,4.2
1971,5817203,25.5,4140624,52,3434288,33.9
1981,7659336,31.6,5351614,29.2,4479944,30.4
1991,9220974,20.4,6419484,20,4375583,-2.3
2001,11359378,23.2,8330576,29.8,5971024,36.5
2011,12849041,13.1,9898908,18.8,6064134,1.6
Females, -, -, -, -, -, -
"1952/54 
",4184472, -,3072152, -,1692963, -
"1961* 
",4776963,14.2,29353174,-4.5,1742924,3
1971,5738780,20.1,4037817,37.6,1418236,-18.6
1981,7327503,27.7,5130274,27.1,2370942,67.2
1991,9270123,26.5,6558128,27.8,2964003,25
2001,11377556,22.7,8439703,28.7,4666219,57.4
2011,13645463,19.9,10822774,28.2,5044781,8.1
