Caste /Ethnic Group,"Number 
(2001)",Percent,"Number 
(2011)",Percent
Chhettri,3593496,15.8,4398053,16.6
Brahman-Hill,2896477,12.74,3226903,12.18
Magar,1622421,7.14,1887733,7.12
Tharu,1533879,6.75,1737470,6.56
Tamang,1282304,5.64,1539830,5.81
Newar,1245232,5.48,1331933,5.03
Muslim,971056,4.27,1164255,4.39
Kami,895954,3.94,1258554,4.75
Yadav,895423,3.94,1054458,3.98
Rai,635151,2.79,620004,2.34
Gurung,543571,2.39,522641,1.97
Damai/Dhobi,390305,1.72,472862,1.78
Limbu,359379,1.58,387300,1.46
Thakurl,334120,1.47,425623,1.61
Sarki,318989,1.4,374816,1.41
