Municipality,District,Census Year,Census Year,Census Year,Popn Difference (1991-2001),Popn Difference (2001-2011),Av. growth rate (2001-2011)
 -, -,1991,2001,2011, -, -, -
Ilam,Ilam,13197,16237,19427,3040,3190,1.79
Bhadrapur,Jhapa,15210,18145,18646,2935,501,0.27
Damak,Jhapa,41321,35009,75743,-6312,40734,7.72
Mechinagar,Jhapa,37108,49060,57909,11952,8849,1.66
Biratnagar,Morang,129388,166674,204949,37286,38275,2.07
Dharan,Sunsari,66457,95332,119915,28875,24583,2.29
Inarwa,Sunsari,18547,23200,28923,4653,5723,2.2
Itahari,Sunsari,26824,41210,76869,14386,35659,6.23
Dhankuta,Dhankuta,17073,20668,28364,3595,7696,3.17
Khandbari,Sankhuwasabha,18756,21789,26658,3033,4869,2.02
Triyuga,Udaypur,37512,55291,71405,17779,16114,2.56
Rajbiraj,Saptari,24227,30353,38241,6126,7888,2.31
Lahan,Siraha,19018,27654,33927,8636,6273,2.04
Siraha,Siraha,21866,23988,28831,2122,4843,1.84
Janakpur,Dhanusha,54710,74192,98446,19482,24254,2.83
Jaleshwor,Mahottari,18088,22046,24765,3958,2719,1.16
Malangwa,Sarlahi,14142,18484,25143,4342,6659,3.08
Kamala Mai,Sindhuli,19266,32838,41117,13572,8279,2.25
Bhimeswor,Dolakha,19266,21916,23337,2650,1421,0.63
Banepa,Kavrepalanchok,12537,15822,24894,3285,9072,4.53
